QuantitySold,PricePercent,StartingBidPercent,SellerClosePercent,AvgPrice,AuctionCount,AuctionSaleCount,SellerAuctionCount,AuctionMedianPrice
1,0.6073,0.6073,0.091288783,1.63,107,12,5028,0.99
0,2.1198,2.1198,0.471153846,4.7126,593,190,104,2.82
0,1,1,0.031888614,9.95,52,1,4453,9.95
0,3.0086,3.0086,0.363636364,53.1767,133,38,44,29.885
0,0.9346,0.9346,0.009892086,2.6642,153,11,6672,0.99
0,1.6274,1.6274,0.065217391,18.4273,583,291,46,12.26
0,1.3137,1.3137,0.026058632,2.6642,153,11,2149,0.99
0,2.683,2.683,0.528301887,18.632,48,6,53,3.36
1,0.7065,0.4335,0.058441558,18.4273,583,291,462,12.26
0,1.3137,1.3137,0.026058632,2.6642,153,11,2149,0.99
0,1.3137,1.3137,0.026058632,2.6642,153,11,2149,0.99
1,0.3715,0.3715,0.128269437,2.6642,153,11,2791,0.99
0,0.6073,0.6073,0.091288783,1.63,107,12,5028,0.99
0,1.9348,1.9348,0.218390805,51.6793,1586,447,87,36
0,1.7451,1.7451,0.915980231,51.5669,172,46,607,23.725
0,1.087,1.087,0.064516129,4.5994,198,34,155,2.12
1,0.8087,0.1584,0.885057471,63.062,620,257,1740,56
0,0.7841,0.7841,0.277108434,40.7425,15,4,249,35.975
0,0.6546,0.6546,0.237037037,15.2603,125,52,135,8.49
0,1.8214,1.8214,0.007653061,1.647,75,10,392,1.8
1,0.9038,0.1584,0.885057471,63.062,620,257,1740,56
1,0.5763,0.5763,0.583916084,0.8675,13,4,286,0.99
0,1.4512,1.4512,0.057692308,51.6793,1586,447,104,36
0,0.365,0.365,0.545454545,27.3936,575,244,11,15.28
0,1.3872,1.3872,0.008514664,14.41,15,3,1057,4.99
1,0.8588,0.0155,0.979672501,63.8666,49,28,1771,51
1,0.3248,0.3248,0.363833478,6.1265,211,39,2306,4.99
0,9.1483,9.1483,0.187116564,1.092,33,5,326,0.99
1,0.2296,0.0087,0.942528736,113.1952,573,339,87,93.09
0,0.7586,0.7586,0.262433053,1.305,12,4,1307,0.99
0,0.9539,0.9539,0.071428571,9.4236,146,60,224,4.97
0,0.5833,0.5833,0.020172911,6,21,1,347,6
0,1.0486,1.0486,0.105263158,76.2809,329,139,19,66.23
0,0.8671,0.8671,0.021472393,17.24,21,2,326,9.24
0,9.1483,9.1483,0.187116564,1.092,33,5,326,0.99
0,0.2481,0.2481,0.424528302,3.99,9,1,106,3.99
0,0.7824,0.7824,0.065502183,11.49,31,6,687,7.745
1,1.0938,0.9374,0.489882444,15.99,35,3,5189,15.49
1,1.97,0.0551,0.80776699,17.939,68,20,515,12.475
1,0.7985,0.7985,0.027027027,3.7441,29,10,74,2.995
1,2.7177,0.2152,0.666666667,4.5994,198,34,9,2.12
0,1.998,1.998,0.038315256,5,13,1,7099,5
0,3.207,3.207,0.038315256,3.115,24,2,7099,3.115
0,0.2871,0.2871,0.038315256,34.79,55,1,7099,9.99
0,0.4027,0.4027,0.041237113,86.8692,607,252,97,74.49
0,1.939,1.939,0.041825095,51.5669,172,46,263,23.725
0,0.1437,0.1437,0.087179487,34.79,55,1,390,9.99
0,1.087,1.087,0.064516129,4.5994,198,34,155,2.12
0,0.1706,0.1706,0.221343874,7.3266,44,2,253,9.99
1,0.1935,0.1935,0.214285714,51.6793,1586,447,14,36
0,0.4846,0.4846,0.242105263,16.485,32,11,570,9.99
0,1.1222,1.1222,0.084745763,2.6642,153,11,236,0.99
1,0.957,0.957,0.777777778,5.2142,137,44,18,3.02
0,1.04,1.04,0.363833478,2.875,7,2,2306,2.875
0,2.0101,2.0101,0.363833478,0.99,3,1,2306,0.99
1,0.9661,0.0251,0.664516129,39.4247,47,23,155,41
1,0.3377,0.3377,0.605851064,2.9309,49,20,1880,2.545
0,0.9346,0.9346,0.009892086,2.6642,153,11,6672,0.99
0,0.9346,0.9346,0.009892086,2.6642,153,11,6672,0.99
1,0.7933,0.1933,0.075675676,51.6793,1586,447,185,36
1,0.3715,0.3715,0.605851064,2.6642,153,11,1880,0.99
1,0.8173,0.115,0.885057471,86.8692,607,252,1740,74.49
1,1.6652,0.5027,0.489882444,29.815,120,43,5189,24.45
0,2.5394,2.5394,0.022099448,17.7202,98,30,181,13.75
1,0.6991,0.682,0.732323232,58.6282,351,153,198,48.59
1,0.58,0.1456,0.888888889,27.3936,575,244,27,15.28
1,0.6478,0.5398,0.214953271,64.817,517,165,321,41
0,2.7085,2.7085,0.080667594,14.7642,41,19,719,8.08
0,1.6597,1.6597,0.208732694,2.41,17,3,939,2.99
0,1.2212,1.2212,0.32,28.652,15,5,850,15
0,1.8436,1.8436,0.75,54.2361,154,42,20,43.275
0,0.0949,0.0949,0.441558442,10.4281,167,65,385,4.99
0,1.5003,1.5003,0.018518519,15.99,35,3,108,15.49
0,1.1384,1.1384,0.065502183,4.3833,64,3,687,4.69
0,0.4488,0.4488,0.043956044,16.7107,91,14,91,7.75
1,0.6477,0.1765,0.333333333,113.1952,573,339,3,93.09
0,0.732,0.732,0.133333333,8.1829,40,20,375,4.97
0,0.2098,0.2098,0.56384743,15.87,32,4,603,6.49
0,2.2632,2.2632,0.113207547,8.8369,287,105,212,4.31
1,0.2816,0.0168,0.967948718,58.6282,351,153,156,48.59
0,1.1384,1.1384,0.065502183,4.3833,64,3,687,4.69
0,0.0606,0.0606,0.834437086,16.3112,27,8,151,9.5
0,1.9757,1.9757,0.720588235,10.1175,19,3,680,6.99
0,0.8671,0.8671,0.021472393,17.24,21,2,326,9.24
0,0.0554,0.0554,0.194174757,8.8369,287,105,103,4.31
0,0.49,0.49,0.156521739,12.223,285,33,230,9.99
0,0.3743,0.3743,0.170212766,26.6892,29,12,47,18.99
0,0.3646,0.3646,0.24964539,27.3936,575,244,705,15.28
1,1.113,0.0087,1,113.1952,573,339,3,93.09
1,0.0383,0.0168,1,58.6282,351,153,3,48.59
1,0.8469,0.5368,0.235211268,18.6088,25,8,3550,13.5
0,0.5753,0.5753,0.6,10.4281,167,65,5,4.99
1,2.5136,0.0606,0.834437086,16.3112,27,8,151,9.5
0,1.722,1.722,0.059002433,2.8977,97,22,1644,1.015
0,0.6625,0.6625,0.059002433,2.4,8,1,1644,2.55
1,0.6106,0.0155,0.915980231,63.8666,49,28,607,51
1,0.5781,0.5781,0.741803279,16.8647,195,51,244,9.99
1,0.5388,0.0087,0.090425532,113.1952,573,339,188,93.09
1,1.0951,0.2863,0.489882444,52.3492,73,13,5189,51
0,0.2601,0.2601,0.009892086,9.5706,75,6,6672,0.99
0,0.1914,0.1914,0.087179487,34.79,55,1,390,9.99
0,0.2707,0.2707,0.176100629,18.4273,583,291,159,12.26
1,0.6967,0.1933,0.885057471,51.6793,1586,447,1740,36
1,0.7465,0.1584,0.885057471,63.062,620,257,1740,56
0,1.9156,1.9156,0.137931034,51.6793,1586,447,29,36
0,0.9347,0.9347,0.741803279,10.4307,209,65,244,4.99
0,2.2962,2.2962,0.363833478,17.4197,124,37,2306,11.27
0,2.0698,2.0698,0.448863636,6.16,292,102,176,3.775
0,0.2268,0.2268,0.4,220.3642,1174,480,5,199.99
0,2.2085,2.2085,0.135042735,44.8254,346,61,585,15.5
0,0.344,0.344,0.1875,174.3725,185,28,48,101.25
1,0.6832,0.6352,0.525,31.4819,82,20,80,20.5
0,0.5899,0.5899,0.147058824,220.3642,1174,480,34,199.99
0,0.5965,0.5965,0.237037037,15.0705,40,6,135,8.99
0,1.9174,1.9174,0.034934498,10.4307,209,65,687,4.99
0,1.0391,1.0391,0.111111111,220.3642,1174,480,9,199.99
1,0.0044,0.0044,0.226010545,2.2625,13,3,5690,0.99
0,1.7633,1.7633,0.75,6.5159,225,107,4,3
0,0.4588,0.4588,0.330218069,6.5159,225,107,642,3
1,0.0101,0.0101,0.6,394.5252,63,33,5,104.72
0,0.703,0.703,0.571428571,8.52,101,20,420,7.495
1,1.716,0.0949,0.979672501,10.4307,209,65,1771,4.99
1,0.3453,0.3453,0.299651568,2.8666,92,25,574,0.99
0,1.0563,1.0563,0.018518519,17.0296,121,15,108,4.35
0,0.547,0.547,0.032193159,18.2625,242,38,497,14.99
0,2.149,2.149,0.008450704,1.1633,99,3,355,1
1,0.6771,0.6771,0.211267606,11.799,392,75,71,8.99
0,0.5754,0.5754,0.091288783,1.7204,116,23,5028,1.04
0,1,1,0.091288783,0.99,14,1,5028,0.99
0,0.2292,0.2292,0.120418848,43.5862,297,106,191,30.495
0,10.3154,10.3154,0.026058632,1.1633,99,3,2149,1
0,1.5284,1.5284,0.042016807,19.6218,79,21,1071,14.95
1,1.5472,0.0251,0.664516129,39.4247,47,23,155,41
1,1.5828,0.115,0.885057471,86.8692,607,252,1740,74.49
0,1.427,1.427,0.11751663,63.062,620,257,451,56
1,0.9674,0.1584,0.885057471,63.062,620,257,1740,56
0,0.7738,0.7738,0.2,51.6793,1586,447,25,36
0,0.2188,0.2188,0.230769231,132.5112,38,10,13,32.79
0,1.4271,1.4271,0.166666667,63.062,620,257,18,56
0,1.1098,1.1098,0.178217822,63.062,620,257,101,56
0,0.6522,0.6522,0.071100917,4.5994,198,34,436,2.12
0,1,1,0.031888614,9.95,52,1,4453,9.95
1,2.4542,0.6786,0.778688525,1.4587,60,16,122,0.99
1,1.4822,1.4822,0.802816901,20.2325,27,4,71,21.225
1,0.6512,0.6512,0.5,18.4273,583,291,2,12.26
1,1.4331,0.115,0.885057471,86.8692,607,252,1740,74.49
0,0.5754,0.5754,0.5,86.8692,607,252,38,74.49
0,1.5951,1.5951,0.689655172,3.1282,96,17,87,2.5
0,0.2121,0.2121,0.137704918,4.7126,593,190,305,2.82
1,1.5478,1.5478,0.666666667,51.6793,1586,447,9,36
0,1.9348,1.9348,0.218390805,51.6793,1586,447,87,36
0,1.6281,1.6281,0.010471204,32.5466,30,3,764,24.99
0,0.7597,0.7597,0.306976744,18.4273,583,291,215,12.26
1,0.5779,0.5779,0.653846154,48.4304,28,8,26,9.49
1,0.6385,0.4837,0.5,51.6793,1586,447,6,36
0,1.98,1.98,0.176,0.5,36,2,125,0.5
0,29.4209,29.4209,0.210603829,8.8369,287,105,2037,4.31
0,0.825,0.825,0.104384134,6,21,1,479,6
1,0.7887,0.0318,0.720588235,31.0632,440,137,680,26.54
0,1.0601,1.0601,0.242424242,9.4236,146,60,99,4.97
1,0.8377,0.8377,0.14801444,16.7107,91,14,277,7.75
1,1.4086,1.4086,0.132978723,17.7409,385,73,188,10.49
0,0.105,0.105,0.086956522,9.4236,146,60,161,4.97
0,1.018,1.018,0.057392996,64.817,517,165,1028,41
0,0.5701,0.5701,0.371753247,43.8304,88,38,1232,23.045
0,0.5631,0.5631,0.205128205,17.7409,385,73,78,10.49
0,0.2359,0.2359,0.053624042,4.1958,32,3,1697,0.99
0,0.2441,0.2441,0.053624042,4.0548,168,24,1697,0.995
0,0.5643,0.5643,0.0225,17.7202,98,30,400,13.75
0,1.6929,1.6929,0.015873016,17.7202,98,30,378,13.75
0,1.2942,1.2942,0.230769231,69.5306,47,14,13,31.15
0,1.1267,1.1267,0.076923077,17.7409,385,73,52,10.49
1,1.6535,1.6535,0.138888889,24.185,4,2,72,24.185
1,0.0861,0.0861,0.881578947,11.49,31,6,76,7.745
0,1.5707,1.5707,0.170512821,3.1768,29,16,780,2.99
0,0.5833,0.5833,0.020172911,6,21,1,347,6
0,0.63,0.63,0.166666667,14.2687,193,67,54,5.5
0,1.722,1.722,0.531141869,2.8977,97,22,1156,1.015
0,0.2251,0.2251,0.170967742,8.8369,287,105,310,4.31
0,0.165,0.165,0.020512821,6,21,1,390,6
0,2.9635,2.9635,0.065502183,4.3833,64,3,687,4.69
0,1.8436,1.8436,0.053333333,54.2361,154,42,300,43.275
0,3.8198,3.8198,0.053333333,52.3561,284,93,300,46.09
0,0.3581,0.3581,0.155405405,4.16,39,8,148,2.075
0,0.3743,0.3743,0.170212766,26.6892,29,12,47,18.99
0,0.7053,0.7053,0.183150183,1.12,34,2,273,1.12
1,0.6192,0.6192,0.653846154,48.4304,28,8,26,9.49
0,1.8163,1.8163,0.038315256,5.5,5,1,7099,5.5
0,1.6375,1.6375,0.111940299,15.2603,125,52,134,8.49
0,0.21,0.21,0.503926702,4.7126,593,190,1528,2.82
0,1.9332,1.9332,0.008514664,12.9264,106,11,1057,9.99
1,1.1019,0.1933,0.885057471,51.6793,1586,447,1740,36
1,0.3853,0.0186,0.979672501,53.1767,133,38,1771,29.885
0,1.4271,1.4271,0.166666667,63.062,620,257,18,56
1,1.2175,0.0251,0.664516129,39.4247,47,23,155,41
1,0.0537,0.0537,1,18.4273,583,291,17,12.26
0,1.7451,1.7451,0.915980231,51.5669,172,46,607,23.725
1,2.0801,0.0191,0.994520548,51.6793,1586,447,730,36
0,0.8134,0.8134,0.415300546,18.4273,583,291,549,12.26
1,3.8781,3.7835,0.652173913,5.286,11,5,23,1.04
0,0.29,0.29,0.333333333,51.6793,1586,447,6,36
0,0.6361,0.6361,0.152173913,3.1282,96,17,46,2.5
1,0.5416,0.0957,0.176136364,51.6793,1586,447,176,36
0,1.4512,1.4512,0.057692308,51.6793,1586,447,104,36
1,0.6192,0.1933,0.892405063,51.6793,1586,447,158,36
1,3.0701,3.0701,0.057277133,64.817,517,165,6809,41
1,0.6824,0.3551,0.566084788,16.8647,195,51,401,9.99
1,1.206,0.0129,0.976744186,76.2809,329,139,43,66.23
0,1.2285,1.2285,0.181818182,61.0409,252,96,22,50.495
0,1,1,0.693739425,0.99,5,1,1182,0.99
0,0.8519,0.8519,0.454545455,58.6282,351,153,11,48.59
1,1.4668,0.0168,0.979672501,58.6282,351,153,1771,48.59
0,1.0028,1.0028,0.168663594,64.817,517,165,1085,41
0,1.0028,1.0028,0.168663594,64.817,517,165,1085,41
1,0.3578,0.3578,0.566084788,16.7373,68,15,401,11
0,1.2271,1.2271,0.253521127,12.223,285,33,71,9.99
0,0.4503,0.4503,0.102564103,31.0632,440,137,117,26.54
0,0.0346,0.0346,0.2,137.2483,43,6,155,121.25
1,0.5024,0.0182,0.967948718,54.2361,154,42,156,43.275
1,0.3177,0.3177,0.64,3.1155,33,9,125,2.32
0,3.0706,3.0706,0.344827586,13.0231,209,33,58,9.99
0,0.6778,0.6778,0.803921569,8.8369,287,105,204,4.31
0,1.7328,1.7328,0.033898305,5.765,30,8,177,4
1,0.7252,0.115,0.885057471,86.8692,607,252,1740,74.49
0,2.1756,2.1756,0.047619048,86.8692,607,252,21,74.49
0,1.3137,1.3137,0.026058632,2.6642,153,11,2149,0.99
1,0.7597,0.115,0.885057471,86.8692,607,252,1740,74.49
0,1.2115,1.2115,0.177083333,3.1282,96,17,96,2.5
1,0.9555,0.115,0.885057471,86.8692,607,252,1740,74.49
0,0.9558,0.9558,0.133333333,3.1282,96,17,375,2.5
0,3.0958,3.0958,0.112149533,51.6793,1586,447,107,36
1,0.2956,0.2363,0.444444444,50.7378,84,15,9,35
1,1.0466,0.1933,0.885057471,51.6793,1586,447,1740,36
0,2.3306,2.3306,0.098765432,15.0128,30,7,81,13.63
0,1.4512,1.4512,0.057692308,51.6793,1586,447,104,36
1,0.5282,0.0186,0.979672501,53.1767,133,38,1771,29.885
1,0.9669,0.115,0.885057471,86.8692,607,252,1740,74.49
1,0.5224,0.1933,0.885057471,51.6793,1586,447,1740,36
0,0.7985,0.7985,0.32,3.7441,29,10,850,2.995
0,0.21,0.21,0.053624042,4.7126,593,190,1697,2.82
0,0.5213,0.5213,0.053624042,1.899,60,1,1697,0.99
1,1,1,0.133433283,0.99,2,1,667,0.99
0,1.4123,1.4123,0.03125,51.6793,1586,447,32,36
0,1.341,1.341,0.194539249,29.8276,45,12,1758,26.385
0,1.6922,1.6922,0.012903226,53.1767,133,38,155,29.885
0,1.1608,1.1608,0.307692308,51.6793,1586,447,13,36
0,0.606,0.606,0.242105263,16.485,32,11,570,9.99
1,1.4005,0.0191,0.905845835,51.5669,172,46,1933,23.725
0,3.5577,3.5577,0.293333333,16.8647,195,51,75,9.99
1,1.2542,0.0551,0.727272727,17.939,68,20,11,12.475
0,1.7225,1.7225,0.165333333,113.1952,573,339,375,93.09
0,1.5,1.5,0.539215686,2,4,1,102,2
0,1.1267,1.1267,0.076923077,17.7409,385,73,52,10.49
1,0.3256,0.0537,0.553381459,18.4273,583,291,5264,12.26
0,0.1466,0.1466,0.262433053,6.752,63,3,1307,6.18
0,1.6202,1.6202,0.189634865,58.6282,351,153,849,48.59
0,0.8961,0.8961,0.076305221,6.1265,211,39,249,4.99
0,0.0949,0.0949,0.384615385,10.4281,167,65,13,4.99
0,0.9553,0.9553,0.100760456,2.083,38,13,526,0.99
0,0.6898,0.6898,0.028169014,2.16,33,5,142,2.59
1,0.0809,0.0809,0.60989011,12.223,285,33,182,9.99
1,0.4033,0.1456,0.666666667,27.3936,575,244,3,15.28
0,2.1155,2.1155,0.013806706,53.1767,133,38,507,29.885
0,1.7451,1.7451,0.915980231,51.5669,172,46,607,23.725
1,1.3043,0.553,0.503926702,2.875,7,2,1528,2.875
0,1.8214,1.8214,0.007653061,1.647,75,10,392,1.8
1,0.8462,0.0186,0.972222222,53.1767,133,38,36,29.885
0,0.5383,0.5383,0.041237113,11.1443,117,30,97,2.59
0,5.3665,5.3665,0.528301887,18.632,48,6,53,3.36
0,1.0588,1.0588,0.104278075,4.7126,593,190,374,2.82
0,4.7918,4.7918,0.058823529,3.1282,96,17,34,2.5
1,0.73,0.73,0.303571429,27.3936,575,244,56,15.28
0,1.3474,1.3474,0.032235459,58.6282,351,153,1427,48.59
0,3.0706,3.0706,0.018855657,13.0231,209,33,1538,9.99
0,1.6468,1.6468,0.032235459,23.6813,68,17,1427,19.99
0,0.8864,0.8864,0.155502392,16.8647,195,51,418,9.99
0,0.0043,0.0043,0.055307761,2.302,61,13,1121,2.25
0,0.9817,0.9817,0.09375,2.0269,58,13,864,1.04
1,0.1624,0.1624,0.262433053,6.0953,34,13,1307,2.39
0,1.0486,1.0486,0.105263158,76.2809,329,139,19,66.23
0,0.3931,0.3931,0.065502183,38.125,12,4,687,38.5
1,0.6939,0.6171,0.094059406,64.817,517,165,202,41
0,0.5124,0.5124,0.428571429,18.93,117,19,7,19.15
1,9.9037,5.4261,0.606060606,18.4273,583,291,198,12.26
0,1.3545,1.3545,0.264705882,51.6793,1586,447,34,36
1,1.5377,0.0447,0.693739425,22.104,6,4,1182,12.645
0,0.3931,0.3931,0.065502183,38.125,12,4,687,38.5
1,0.2998,0.2998,1,50.022,8,5,3,15
0,0.8961,0.8961,0.076305221,6.1265,211,39,249,4.99
0,0.1253,0.1253,0.363833478,15.87,32,4,2306,6.49
1,0.6493,0.1909,0.365217391,52.3561,284,93,115,46.09
1,2.331,0.0113,0.961538462,86.8692,607,252,26,74.49
0,0.2713,0.2713,0.090909091,18.4273,583,291,33,12.26
1,1.3008,0.115,0.885057471,86.8692,607,252,1740,74.49
0,0.7738,0.7738,0.24964539,51.6793,1586,447,705,36
0,2.7027,2.7027,0.069444444,0.555,66,2,72,0.555
0,0.5514,0.5514,0.826086957,51.6793,1586,447,46,36
1,0.3164,0.3164,0.680232558,3.1282,96,17,172,2.5
0,10.0909,10.0909,0.235211268,0.99,2,1,3550,0.99
0,0.6777,0.6777,0.571428571,18.4273,583,291,140,12.26
0,0.3006,0.3006,0.104218362,1.63,107,12,403,0.99
0,1.9332,1.9332,0.008514664,12.9264,106,11,1057,9.99
0,4.7918,4.7918,0.058823529,3.1282,96,17,34,2.5
0,1,1,0.133433283,0.99,2,1,667,0.99
0,0.5213,0.5213,0.053624042,1.899,60,1,1697,0.99
1,0.2521,0.2279,0.330578512,43.8304,88,38,605,23.045
0,0.3931,0.3931,0.065502183,38.125,12,4,687,38.5
1,0.4108,0.1908,0.213740458,52.3561,284,93,131,46.09
0,2.8648,2.8648,0.053333333,52.3561,284,93,300,46.09
0,2.3035,2.3035,0.03125,13.0231,209,33,96,9.99
0,2.1411,2.1411,0.009892086,1.63,107,12,6672,0.99
0,0.9346,0.9346,0.009892086,2.6642,153,11,6672,0.99
0,0.4027,0.4027,0.041237113,86.8692,607,252,97,74.49
0,6.1188,6.1188,0.046563193,1.1342,36,7,451,0.99
0,1.2209,1.2209,0.489882444,12.2771,25,5,5189,9.99
1,1.6889,1.6889,0.009892086,2.9309,49,20,6672,2.545
0,0.4878,0.4878,0.0944,18.4273,583,291,625,12.26
0,1.9043,1.9043,0.009892086,1.3075,45,4,6672,1.12
0,2.1411,2.1411,0.009892086,1.63,107,12,6672,0.99
0,0.2601,0.2601,0.009892086,9.5706,75,6,6672,0.99
0,4.4864,4.4864,0.009892086,0.555,66,2,6672,0.555
0,0.5213,0.5213,0.133333333,1.899,60,1,150,0.99
0,0.6383,0.6383,0.111940299,51.6793,1586,447,134,36
0,0.4699,0.4699,0.260963725,12.7466,5,3,1847,9.99
0,2.4935,2.4935,0.064516129,18.4273,583,291,248,12.26
1,0.5986,0.5754,0.945882353,86.8692,607,252,425,74.49
0,3.3936,3.3936,0.344444444,51.5669,172,46,360,23.725
0,0.4884,0.4884,0.220338983,2.0269,58,13,59,1.04
1,4.3783,4.3783,0.961904762,6.8404,26,22,105,4.405
0,0.2152,0.2152,0.756756757,4.5994,198,34,37,2.12
0,1.2988,1.2988,0.128269437,2.302,61,13,2791,2.25
0,1.1281,1.1281,0.444444444,86.8692,607,252,81,74.49
1,1,0.2503,0.554455446,59.88,7,1,404,59.88
0,1.2577,1.2577,0.181034483,51.6793,1586,447,116,36
1,0.6638,0.4929,0.43,152.1166,48,27,100,100.99
0,0.6036,0.6036,0.125,132.5112,38,10,80,32.79
1,0.1925,0.1925,0.090909091,51.6793,1586,447,11,36
0,0.6789,0.6789,0.24964539,2.9309,49,20,705,2.545
0,0.8466,0.8466,0.024955437,4.7126,593,190,1122,2.82
0,0.7756,0.7756,0.387523629,51.5669,172,46,1587,23.725
1,1.1166,0.115,0.885057471,86.8692,607,252,1740,74.49
0,0.8466,0.8466,0.028515241,4.7126,593,190,1017,2.82
0,0.1437,0.1437,0.087179487,34.79,55,1,390,9.99
0,0.9673,0.9673,0.046875,51.6793,1586,447,128,36
1,1.0399,0.0251,0.664516129,39.4247,47,23,155,41
1,0.5755,0.5755,0.948275862,86.8692,607,252,58,74.49
0,7.0327,7.0327,0.025316456,3.1282,96,17,237,2.5
1,0.3289,0.2513,0.45112782,51.6793,1586,447,266,36
0,1.2209,1.2209,0.489882444,12.2771,25,5,5189,9.99
1,1.04,0.335,0.990566038,29.815,120,43,106,24.45
0,1.1891,1.1891,0.043478261,63.062,620,257,46,56
0,0.4027,0.4027,0.041237113,86.8692,607,252,97,74.49
1,0.0034,0.0034,0.725376593,2.9309,49,20,1726,2.545
0,0.5161,0.5161,0.428571429,18.93,117,19,7,19.15
1,1,1,0.302469136,9.99,4,1,162,9.99
1,0.513,0.4884,0.61971831,2.0269,58,13,142,1.04
0,0.4262,0.4262,0.066666667,11.1443,117,30,15,2.59
1,0.6684,0.1732,0.659388646,5.715,4,2,229,5.715
1,0.6599,0.0318,0.890909091,31.0632,440,137,165,26.54
0,2.2085,2.2085,0.078947368,113.1952,573,339,38,93.09
0,1.8303,1.8303,0.032235459,86.8692,607,252,1427,74.49
0,0.1034,0.1034,0.128269437,9.5706,75,6,2791,0.99
0,2.2908,2.2908,0.032235459,86.8692,607,252,1427,74.49
1,0.5235,0.0001,0.862660944,51.5669,172,46,233,23.725
0,0.7049,0.7049,0.415300546,18.4273,583,291,549,12.26
1,0.6344,0.6344,0.137837838,4.7126,593,190,370,2.82
1,0.6154,0.6154,0.439692982,0.4062,14,8,912,0.25
1,0.7354,0.1933,0.885057471,51.6793,1586,447,1740,36
0,1.5328,1.5328,0.915980231,27.3936,575,244,607,15.28
0,0.4416,0.4416,0.818181818,113.1952,573,339,11,93.09
1,1.0115,0.0087,0.818181818,113.1952,573,339,11,93.09
1,0.9855,0.3231,0.875,154.731,30,10,8,30.39
0,1.3104,1.3104,0.071428571,61.0409,252,96,28,50.495
0,2.3306,2.3306,0.098765432,15.0128,30,7,81,13.63
1,0.2162,0.018,0.725376593,0.555,66,2,1726,0.555
0,0.2174,0.2174,0.170967742,4.5994,198,34,310,2.12
1,1.2484,1.2484,0.269346734,2.395,4,2,995,2.395
0,3.1967,3.1967,0.363636364,53.1767,133,38,44,29.885
0,0.6344,0.6344,0.028515241,4.7126,593,190,1017,2.82
1,1.3351,1.3351,0.12,51.6793,1586,447,25,36
1,2.0397,0.7837,0.260963725,12.7466,5,3,1847,9.99
0,0.3699,0.3699,0.17721519,4.0548,168,24,316,0.995
0,1.5986,1.5986,0.010115607,43.7809,35,11,692,34.59
0,0.825,0.825,0.104384134,6,21,1,479,6
0,0.2992,0.2992,0.043956044,16.7107,91,14,91,7.75
1,0.9654,0.9654,1,31.0632,440,137,4,26.54
0,0.2359,0.2359,0.053624042,4.1958,32,3,1697,0.99
0,0.4898,0.4898,0.166666667,14.2687,193,67,54,5.5
1,0.6955,0.6955,0.571428571,179.7259,47,12,7,104.89
1,0.31,0.0197,0.957928803,50.022,8,5,309,15
0,0.7597,0.7597,0.306976744,18.4273,583,291,215,12.26
0,0.601,0.601,0.056537102,1.647,75,10,566,1.8
0,1.101,1.101,0.229166667,22.6966,76,18,48,23.98
1,0.1765,0.1569,0.771386431,12.7466,5,3,678,9.99
0,1.8008,1.8008,0.139534884,9.99,5,1,301,9.99
0,0.9512,0.9512,0.178217822,63.062,620,257,101,56
1,0.8881,0.1584,0.830708661,63.062,620,257,508,56
0,1.0853,1.0853,0.041237113,18.4273,583,291,97,12.26
0,2.1756,2.1756,0.047619048,86.8692,607,252,21,74.49
0,2.1155,2.1155,0.013806706,53.1767,133,38,507,29.885
0,0.774,0.774,0.214285714,51.6793,1586,447,14,36
