,dbn,school_name,address,city,Number of SAT Test Takers,SAT Critical Reading Avg,SAT Math Avg,SAT Writing Avg,total cohort  - june,total math/ela apm - june,Regents Pass Rate - June,total cohort  - august,total math/ela apm - august,Regents Pass Rate - August,Graduation Ontrack Rate - 2013,Graduation Rate - 2013,College Career Rate - 2013,Student Satisfaction Rate - 2013,Graduation Ontrack Rate - 2012,Graduation Rate - 2012,College Career Rate - 2012,Student Satisfaction Rate - 2012,coordinates
231,13K499,ACORN Community High School,561 Grand Avenue,Brooklyn,72.0,384.0,364.0,368.0,169.0,6.0,3.6,169.0,6.0,3.6,72.0,71.0,43.0,7.5,70.0,72.0,39.0,7.2,"(40.6785497, -73.9618773)"
232,13K527,Urban Assembly Institute of Math and Science for Young Women,283 Adams Street,Brooklyn,,,,,,,,,,,72.0,78.0,,7.5,81.0,,,6.8,"(38.6546161, -90.1675195)"
233,13K595,Bedford Academy High School,1119 Bedford Avenue,Brooklyn,89.0,438.0,443.0,431.0,76.0,35.0,46.1,76.0,35.0,46.1,99.0,95.0,82.0,8.0,99.0,97.0,76.0,7.2,"(40.6854319, -73.9540245)"
234,13K605,George Westinghouse Career and Technical Education High School,105 Johnson Street,Brooklyn,85.0,406.0,391.0,392.0,246.0,4.0,1.6,246.0,4.0,1.6,75.0,67.0,33.0,6.8,74.0,62.0,47.0,5.8,"(40.6949227, -73.9859038)"
235,13K670,Benjamin Banneker Academy,71-77 Clinton Avenue,Brooklyn,185.0,471.0,472.0,448.0,234.0,92.0,39.3,234.0,93.0,39.7,91.0,95.0,76.0,7.0,89.0,94.0,72.0,6.5,"(40.6953677, -73.9688206)"
236,13K674,City Polytechnic High School of Engineering Architecture and Technology,105 Johnson Street,Brooklyn,20.0,441.0,499.0,413.0,,,,,,,89.0,83.0,,7.5,84.0,,,6.8,"(40.6949227, -73.9859038)"
237,14K071,Juan Morel Campos Secondary School,215 Heyward Street,Brooklyn,102.0,365.0,361.0,359.0,100.0,4.0,4.0,100.0,5.0,5.0,68.0,48.0,30.0,7.7,54.0,46.0,36.0,6.6,"(40.7041207, -73.9533388)"
238,14K322,Foundations Academy,70 Tompkins Avenue,Brooklyn,,,,,60.0,5.0,8.3,60.0,5.0,8.3,48.0,20.0,6.0,6.4,47.0,26.0,25.0,6.1,"(40.6968241, -73.9473055)"
239,14K449,Brooklyn Latin School ,223 Graham Avenue,Brooklyn,72.0,586.0,584.0,570.0,51.0,37.0,72.5,51.0,38.0,74.5,95.0,100.0,87.0,7.9,98.0,99.0,86.0,7.6,"(40.7097993, -73.9441196)"
240,14K454,Green School: An Academy for Environmental Careers,223 Graham Avenue,Brooklyn,41.0,407.0,386.0,396.0,96.0,4.0,4.2,96.0,4.0,4.2,81.0,49.0,30.0,6.8,83.0,69.0,42.0,6.5,"(40.7097993, -73.9441196)"
241,14K474,PROGRESS High School for Professional Careers,850 Grand Street,Brooklyn,144.0,364.0,379.0,371.0,207.0,14.0,6.8,207.0,14.0,6.8,72.0,59.0,44.0,7.5,70.0,75.0,40.0,6.5,"(40.7118806, -73.94033809999999)"
242,14K477,School for Legal Studies,850 Grand Street,Brooklyn,134.0,413.0,396.0,395.0,146.0,12.0,8.2,146.0,12.0,8.2,55.0,43.0,45.0,6.8,56.0,69.0,52.0,6.6,"(40.7118806, -73.94033809999999)"
243,14K478, High School for Enterprise Business and Technology,850 Grand Street,Brooklyn,142.0,398.0,421.0,396.0,161.0,16.0,9.9,161.0,16.0,9.9,80.0,73.0,50.0,7.2,83.0,77.0,54.0,6.1,"(40.7118806, -73.94033809999999)"
244,14K488,Brooklyn Preparatory High School,257 North 6 Street,Brooklyn,42.0,367.0,373.0,350.0,75.0,8.0,10.7,75.0,8.0,10.7,90.0,74.0,54.0,7.1,90.0,76.0,62.0,6.5,"(38.6604476, -90.167141)"
245,14K558,Williamsburg High School for Architecture and Design,257 North 6 Street,Brooklyn,72.0,363.0,385.0,364.0,97.0,13.0,13.4,97.0,13.0,13.4,93.0,90.0,52.0,8.8,94.0,88.0,48.0,7.2,"(38.6604476, -90.167141)"
246,14K561,Williamsburg Preparatory School,257 North 6 Street,Brooklyn,113.0,397.0,410.0,380.0,108.0,15.0,13.9,108.0,17.0,15.7,93.0,89.0,67.0,8.1,93.0,91.0,73.0,7.3,"(38.6604476, -90.167141)"
247,14K586,Lyons Community School,223 Graham Avenue,Brooklyn,31.0,371.0,377.0,355.0,4.0,,,4.0,,,74.0,60.0,35.0,7.3,73.0,65.0,46.0,6.8,"(40.7097993, -73.9441196)"
248,14K610,Automotive High School,50 Bedford Avenue,Brooklyn,94.0,367.0,376.0,350.0,233.0,3.0,1.3,233.0,3.0,1.3,59.0,45.0,38.0,6.9,59.0,64.0,26.0,6.2,"(40.7222582, -73.9535961)"
249,14K614,Young Women's Leadership School of Brooklyn,325 Bushwick Avenue,Brooklyn,,,,,,,,,,,86.0,,,7.8,73.0,,,7.2,"(40.70497599999999, -73.938767)"
250,14K632,Frances Perkins Academy,50 Bedford Avenue,Brooklyn,12.0,382.0,372.0,368.0,,,,,,,92.0,46.0,31.0,7.6,95.0,60.0,,6.6,"(40.7222582, -73.9535961)"
251,14K685,El Puente Academy for Peace and Justice,250 Hooper Street,Brooklyn,28.0,359.0,335.0,341.0,,,,,,,90.0,78.0,34.0,7.9,87.0,68.0,36.0,7.3,"(40.7056895, -73.9556959)"
252,15K423,Brooklyn Frontiers High School,112 Schermerhorn Street,Brooklyn,,,,,,,,,,,,,,6.9,,,,6.6,"(40.6900097, -73.9892637)"
253,15K429,Brooklyn School for Global Studies,284 Baltic Street,Brooklyn,52.0,361.0,367.0,383.0,,,,,,,88.0,75.0,54.0,6.9,84.0,65.0,49.0,6.3,"(40.6853801, -73.9938329)"
254,15K448,Brooklyn Secondary School for Collaborative Studies,610 Henry Street,Brooklyn,76.0,393.0,399.0,387.0,,,,,,,80.0,87.0,74.0,7.4,89.0,82.0,77.0,7.1,"(40.67943229999999, -74.0019427)"
255,15K462,Secondary School for Law,237 7 Avenue,Brooklyn,59.0,398.0,411.0,394.0,89.0,7.0,7.9,89.0,7.0,7.9,60.0,82.0,53.0,6.6,81.0,81.0,47.0,6.6,"(40.6694296, -73.9788092)"
256,15K463,Secondary School for Journalism,237 7 Avenue,Brooklyn,58.0,397.0,391.0,381.0,94.0,8.0,8.5,94.0,9.0,9.6,77.0,65.0,42.0,6.6,67.0,62.0,46.0,6.3,"(40.6694296, -73.9788092)"
257,15K464,Park Slope Collegiate,237 7 Avenue,Brooklyn,72.0,379.0,416.0,380.0,87.0,5.0,5.7,87.0,5.0,5.7,80.0,39.0,50.0,6.8,66.0,63.0,44.0,6.6,"(40.6694296, -73.9788092)"
258,15K497,School for International Studies,284 Baltic Street,Brooklyn,64.0,405.0,415.0,392.0,65.0,12.0,18.5,65.0,12.0,18.5,72.0,47.0,52.0,6.9,75.0,70.0,50.0,6.9,"(40.6853801, -73.9938329)"
259,15K519,Cobble Hill School of American Studies,347 Baltic Street,Brooklyn,77.0,398.0,402.0,385.0,142.0,4.0,2.8,142.0,4.0,2.8,83.0,79.0,41.0,7.8,74.0,72.0,32.0,6.0,"(40.6848686, -73.99077)"
260,15K592,Khalil Gibran International Academy,362 Schermerhorn Street,Brooklyn,,,,,,,,,,,74.0,,,8.1,,,,8.0,"(40.6863861, -73.9797253)"
261,15K656,Brooklyn High School of  Arts,345 Dean Street,Brooklyn,141.0,426.0,421.0,411.0,100.0,16.0,16.0,100.0,17.0,17.0,83.0,83.0,59.0,6.9,86.0,78.0,63.0,6.4,"(40.6837172, -73.98023959999999)"
262,15K667,Sunset Park High School,153 35Th Street,Brooklyn,,,,,,,,,,,93.0,71.0,,7.7,90.0,,,7.2,"(40.6556457, -74.0044674)"
263,15K684,Millennium Brooklyn HS,237 7 Avenue,Brooklyn,,,,,,,,,,,99.0,,,8.1,96.0,,,7.9,"(40.6694296, -73.9788092)"
264,16K393,Frederick Douglass Academy IV Secondary School,1014 Lafayette Avenue,Brooklyn,20.0,355.0,355.0,358.0,71.0,6.0,8.5,71.0,6.0,8.5,71.0,78.0,19.0,8.0,65.0,51.0,32.0,6.4,"(40.6919757, -73.93148839999999)"
265,16K455,Boys and Girls High School,1700 Fulton Street,Brooklyn,131.0,365.0,370.0,362.0,530.0,11.0,2.1,530.0,11.0,2.1,55.0,44.0,19.0,7.6,48.0,39.0,21.0,6.9,"(40.67892270000001, -73.9316585)"
266,16K498,Brooklyn High School for Law and Technology,1396 Broadway,Brooklyn,46.0,362.0,372.0,358.0,,,,,,,91.0,59.0,41.0,7.6,84.0,72.0,41.0,6.4,"(40.6884532, -73.9207644)"
267,16K594,Gotham Professional Arts Academy,265 Ralph Avenue,Brooklyn,36.0,370.0,372.0,351.0,,,,,,,82.0,66.0,31.0,7.7,82.0,62.0,33.0,7.0,"(40.6801794, -73.9217769)"
268,16K688, Brooklyn Academy of Global Finance,125 Stuyvesant Avenue,Brooklyn,,,,,,,,,,,52.0,55.0,,6.9,59.0,,,4.8,"(40.6912889, -73.9334089)"
270,17K122,Pathways in Technology Early College High School (P-Tech),150 Albany Avenue,Brooklyn,,,,,,,,,,,85.0,,,7.9,96.0,,,7.2,"(40.6753999, -73.93920539999999)"
271,17K382,Academy for College Preparation and Career Exploration: A College Board School,911 Flatbush Avenue,Brooklyn,59.0,396.0,374.0,369.0,69.0,14.0,20.3,69.0,14.0,20.3,78.0,71.0,53.0,6.6,73.0,72.0,41.0,5.8,"(40.6494997, -73.95816169999999)"
272,17K408,Academy of Hospitality and Tourism,911 Flatbush Avenue,Brooklyn,57.0,352.0,342.0,351.0,81.0,10.0,12.3,81.0,10.0,12.3,64.0,46.0,42.0,6.8,83.0,61.0,54.0,6.3,"(40.6494997, -73.95816169999999)"
273,17K524,International High School at Prospect Heights,883 Classon Avenue,Brooklyn,71.0,287.0,335.0,291.0,84.0,5.0,6.0,84.0,5.0,6.0,83.0,66.0,43.0,8.0,96.0,57.0,43.0,7.5,"(40.66995610000001, -73.9611201)"
274,17K528, High School for Global Citizenship,883 Classon Avenue,Brooklyn,46.0,403.0,385.0,388.0,104.0,12.0,11.5,104.0,12.0,11.5,83.0,57.0,52.0,7.1,67.0,77.0,32.0,6.7,"(40.66995610000001, -73.9611201)"
275,17K531,School for Human Rights ,600 Kingston Avenue,Brooklyn,35.0,348.0,381.0,359.0,60.0,5.0,8.3,60.0,5.0,8.3,88.0,70.0,58.0,8.0,79.0,85.0,36.0,7.4,"(40.658665, -73.943838)"
276,17K533,School for Democracy and Leadership,600 Kingston Avenue,Brooklyn,38.0,377.0,404.0,372.0,74.0,0.0,0.0,74.0,8.0,10.8,85.0,54.0,44.0,6.5,76.0,68.0,42.0,6.3,"(40.658665, -73.943838)"
277,17K537,High School for Youth and Community Development at Erasmus,911 Flatbush Avenue,Brooklyn,73.0,338.0,349.0,340.0,100.0,11.0,11.0,100.0,11.0,11.0,83.0,68.0,51.0,6.9,89.0,70.0,32.0,6.0,"(40.6494997, -73.95816169999999)"
278,17K539,High School for Service & Learning at Erasmus,911 Flatbush Avenue,Brooklyn,61.0,362.0,375.0,368.0,116.0,9.0,7.8,116.0,9.0,7.8,86.0,71.0,38.0,6.6,83.0,75.0,44.0,6.2,"(40.6494997, -73.95816169999999)"
279,17K543,Science Technology and Research Early College High School at Erasmus,911 Flatbush Avenue,Brooklyn,69.0,457.0,462.0,441.0,76.0,21.0,27.6,76.0,21.0,27.6,95.0,96.0,97.0,7.5,93.0,99.0,84.0,7.2,"(40.6494997, -73.95816169999999)"
280,17K546,High School for Public Service: Heroes of Tomorrow,600 Kingston Avenue,Brooklyn,79.0,418.0,441.0,414.0,93.0,22.0,23.7,93.0,22.0,23.7,93.0,94.0,81.0,7.9,96.0,96.0,82.0,7.4,"(40.658665, -73.943838)"
281,17K547,Brooklyn Academy of Science and  Environment,883 Classon Avenue,Brooklyn,63.0,388.0,382.0,373.0,110.0,20.0,18.2,110.0,20.0,18.2,87.0,64.0,42.0,6.9,80.0,69.0,47.0,6.4,"(40.66995610000001, -73.9611201)"
282,17K548,Brooklyn School for Music & atre,883 Classon Avenue,Brooklyn,48.0,385.0,393.0,373.0,88.0,5.0,5.7,88.0,5.0,5.7,85.0,68.0,40.0,6.8,86.0,74.0,36.0,6.5,"(40.66995610000001, -73.9611201)"
283,17K590,Medgar Evers College Preparatory School,1186 Carroll Street,Brooklyn,165.0,476.0,481.0,479.0,156.0,55.0,35.3,156.0,55.0,35.3,92.0,96.0,84.0,7.7,95.0,99.0,76.0,6.2,"(40.667, -73.95101360000001)"
284,17K600,Clara Barton High School,901 Classon Avenue,Brooklyn,259.0,425.0,413.0,413.0,488.0,104.0,21.3,488.0,110.0,22.5,69.0,72.0,58.0,6.5,66.0,73.0,55.0,6.0,"(40.6691193, -73.9617434)"
285,17K745,Brooklyn Institute for Liberal Arts,600 Kingston Avenue,Brooklyn,,,,,,,,,,,89.0,,,7.8,,,,,"(40.658665, -73.943838)"
286,17K751,Academy for Health Careers,150 Albany Avenue,Brooklyn,,,,,,,,,,,70.0,,,6.6,82.0,,,6.6,"(40.6753999, -73.93920539999999)"
287,18K563,It Takes a Village Academy,5800 Tilden Avenue,Brooklyn,56.0,313.0,320.0,330.0,4.0,,,4.0,,,93.0,89.0,79.0,7.2,93.0,86.0,88.0,6.5,"(40.6480566, -73.9222341)"
288,18K566,Brooklyn Generation School,6565 Flatlands Avenue,Brooklyn,29.0,374.0,377.0,394.0,4.0,,,4.0,,,73.0,51.0,47.0,7.3,76.0,54.0,35.0,6.4,"(40.6335392, -73.9174422)"
289,18K567,Brooklyn atre Arts High School,6565 Flatlands Avenue,Brooklyn,54.0,383.0,358.0,377.0,3.0,,,3.0,,,71.0,63.0,45.0,7.2,72.0,65.0,40.0,6.2,"(40.6335392, -73.9174422)"
290,18K569,Kurt Hahn Expeditionary Learning School,5800 Tilden Avenue,Brooklyn,43.0,368.0,378.0,346.0,5.0,,,5.0,,,80.0,72.0,53.0,7.8,91.0,77.0,53.0,7.2,"(40.6480566, -73.9222341)"
291,18K576,Victory Collegiate High School,6565 Flatlands Avenue,Brooklyn,63.0,387.0,377.0,379.0,3.0,,,3.0,,,86.0,87.0,54.0,7.6,87.0,90.0,43.0,7.0,"(40.6335392, -73.9174422)"
292,18K589,Arts & Media Preparatory Academy,905 Winthrop Street,Brooklyn,48.0,361.0,360.0,359.0,4.0,,,4.0,,,84.0,45.0,45.0,8.0,73.0,70.0,40.0,6.5,"(40.6586846, -73.9286824)"
293,18K617,High School for Innovation in Advertising and Media,1600 Rockaway Parkway,Brooklyn,37.0,404.0,393.0,386.0,,,,,,,66.0,68.0,45.0,7.5,91.0,63.0,,6.7,"(40.640423, -73.8984517)"
294,18K629,Cultural Academy for  Arts and Sciences,5800 Tilden Avenue,Brooklyn,33.0,393.0,395.0,381.0,2.0,,,2.0,,,69.0,65.0,39.0,7.1,87.0,72.0,,6.8,"(40.6480566, -73.9222341)"
295,18K633,High School for Medical Professions,1600 Rockaway Parkway,Brooklyn,75.0,386.0,380.0,393.0,,,,,,,96.0,93.0,68.0,7.1,92.0,94.0,,6.5,"(40.640423, -73.8984517)"
296,18K637,Academy for Conservation and  Environment,6565 Flatlands Avenue,Brooklyn,35.0,363.0,381.0,367.0,,,,,,,86.0,61.0,41.0,6.9,80.0,56.0,,6.2,"(40.6335392, -73.9174422)"
297,18K642,Urban Action Academy,1600 Rockaway Parkway,Brooklyn,40.0,376.0,385.0,374.0,,,,,,,77.0,68.0,27.0,7.2,76.0,61.0,,6.6,"(40.640423, -73.8984517)"
298,19K404,Academy for Young Writers,1065 Elton Street,Brooklyn,,,,,,,,,,,84.0,65.0,49.0,7.4,66.0,71.0,59.0,7.0,"(40.6573003, -73.87413769999999)"
299,19K409,East New York Family Academy,2057 Linden Boulevard,Brooklyn,54.0,416.0,432.0,394.0,91.0,6.0,6.6,91.0,6.0,6.6,86.0,87.0,62.0,7.0,90.0,80.0,52.0,6.9,"(40.661095, -73.886661)"
301,19K502,FDNY High School for Fire and Life Safety,400 Pennsylvania Avenue,Brooklyn,37.0,341.0,349.0,333.0,87.0,3.0,3.4,87.0,3.0,3.4,83.0,65.0,15.0,7.6,72.0,77.0,9.0,6.8,"(40.6676011, -73.8947918)"
302,19K504,High School for Civil Rights,400 Pennsylvania Avenue,Brooklyn,47.0,363.0,349.0,342.0,111.0,4.0,3.6,111.0,4.0,3.6,84.0,57.0,24.0,7.4,55.0,62.0,29.0,6.8,"(40.6676011, -73.8947918)"
303,19K507,Performing Arts and Technology High School,400 Pennsylvania Avenue,Brooklyn,61.0,380.0,386.0,383.0,111.0,4.0,3.6,111.0,4.0,3.6,85.0,70.0,37.0,7.3,82.0,63.0,38.0,6.6,"(40.6676011, -73.8947918)"
304,19K510,World Academy for Total Community Health High School,400 Pennsylvania Avenue,Brooklyn,68.0,371.0,365.0,370.0,95.0,1.0,1.1,95.0,5.0,5.3,82.0,65.0,47.0,6.5,72.0,65.0,43.0,5.9,"(40.6676011, -73.8947918)"
305,19K583,Multicultural High School,999 Jamaica Avenue,Brooklyn,29.0,279.0,322.0,286.0,3.0,,,3.0,,,81.0,29.0,25.0,7.5,72.0,35.0,23.0,6.8,"(40.6928503, -73.8689912)"
306,19K615,Transit Tech Career and Technical Education High School,1 Wells Street,Brooklyn,182.0,395.0,418.0,380.0,346.0,38.0,11.0,346.0,40.0,11.6,53.0,67.0,42.0,6.0,62.0,71.0,49.0,5.7,"(40.678748, -73.8752133)"
307,19K618,Academy of Innovative Technology,999 Jamaica Avenue,Brooklyn,60.0,371.0,371.0,354.0,1.0,,,1.0,,,90.0,53.0,53.0,7.5,85.0,64.0,,6.7,"(40.6928503, -73.8689912)"
308,19K639,Brooklyn Lab School,999 Jamaica Avenue,Brooklyn,57.0,360.0,385.0,363.0,1.0,,,1.0,,,70.0,50.0,30.0,6.9,66.0,52.0,,6.5,"(40.6928503, -73.8689912)"
309,19K659,Cypress Hills Collegiate Preparatory School,999 Jamaica Avenue,Brooklyn,51.0,376.0,385.0,368.0,106.0,5.0,4.7,106.0,5.0,4.7,77.0,47.0,34.0,7.3,72.0,51.0,36.0,7.1,"(40.6928503, -73.8689912)"
310,19K660,W. H. Maxwell Career and Technical Education High School,145 Pennsylvania Avenue,Brooklyn,74.0,370.0,369.0,363.0,226.0,6.0,2.7,226.0,6.0,2.7,78.0,65.0,30.0,7.1,60.0,67.0,25.0,6.8,"(40.6739267, -73.8963734)"
311,19K683, School for Classics: An Academy of Thinkers Writers and Peformers,370 Fountain Avenue,Brooklyn,38.0,383.0,400.0,374.0,,,,,,,85.0,83.0,48.0,7.4,89.0,85.0,,7.0,"(40.6700472, -73.8744253)"
313,20K445,New Utrecht High School,1601 80 Street,Brooklyn,456.0,402.0,471.0,399.0,621.0,171.0,27.5,621.0,176.0,28.3,77.0,68.0,60.0,7.1,80.0,73.0,57.0,6.4,"(40.6130317, -74.00215759999999)"
314,20K485,High School of Telecommunication Arts and Technology,350 67 Street,Brooklyn,238.0,425.0,474.0,424.0,297.0,107.0,36.0,297.0,108.0,36.4,91.0,83.0,79.0,7.5,90.0,86.0,72.0,7.1,"(40.6368485, -74.0231804)"
315,20K490,Fort Hamilton High School,8301 Shore Road,Brooklyn,694.0,417.0,478.0,411.0,986.0,295.0,29.9,986.0,302.0,30.6,81.0,70.0,58.0,7.1,81.0,66.0,55.0,6.8,"(40.6271178, -74.0392943)"
316,20K505,Franklin Delano Roosevelt High School,5800 20 Avenue,Brooklyn,385.0,383.0,486.0,375.0,859.0,201.0,23.4,859.0,206.0,24.0,70.0,60.0,49.0,7.1,81.0,64.0,47.0,6.7,"(40.6213242, -73.9825025)"
317,20K609,Urban Assembly School for Criminal Justice,4200 16 Avenue,Brooklyn,,,,,,,,,,,83.0,,,8.3,69.0,,,7.5,"(40.634906, -73.98183519999999)"
318,21K337,International High School at Lafayette,2630 Benson Avenue,Brooklyn,54.0,326.0,386.0,314.0,71.0,6.0,8.5,71.0,6.0,8.5,81.0,50.0,41.0,7.9,94.0,48.0,48.0,7.5,"(40.5936235, -73.9861442)"
319,21K344,Rachel Carson High School for Coastal Studies,521 West Avenue,Brooklyn,54.0,402.0,427.0,408.0,113.0,28.0,24.8,113.0,28.0,24.8,81.0,78.0,52.0,6.9,86.0,62.0,55.0,6.5,"(41.733613, -92.4523926)"
320,21K348,High School of Sports Management,2630 Benson Avenue,Brooklyn,39.0,388.0,398.0,378.0,65.0,7.0,10.8,65.0,7.0,10.8,79.0,74.0,57.0,7.5,73.0,70.0,59.0,6.3,"(40.5936235, -73.9861442)"
321,21K410,Abraham Lincoln High School,2800 Ocean Parkway,Brooklyn,475.0,396.0,437.0,393.0,620.0,94.0,15.2,620.0,98.0,15.8,76.0,67.0,55.0,7.5,78.0,71.0,48.0,7.1,"(40.5823822, -73.9682211)"
322,21K468,Kingsborough Early College School,2630 Benson Avenue,Brooklyn,,,,,,,,,,,96.0,91.0,,7.0,88.0,,,6.6,"(40.5936235, -73.9861442)"
323,21K525,Edward R. Murrow High School,1600 Avenue L,Brooklyn,727.0,468.0,496.0,467.0,938.0,376.0,40.1,938.0,381.0,40.6,80.0,78.0,76.0,7.1,81.0,80.0,72.0,6.7,"(40.6198965, -73.95921589999999)"
324,21K540,John Dewey High School,50 Avenue X,Brooklyn,448.0,404.0,468.0,390.0,603.0,125.0,20.7,603.0,128.0,21.2,84.0,74.0,57.0,7.2,78.0,72.0,54.0,7.1,"(40.5876478, -73.9814451)"
325,21K559,Life Academy High School for Film and Music,2630 Benson Avenue,Brooklyn,40.0,384.0,375.0,365.0,1.0,,,1.0,,,85.0,91.0,49.0,7.0,82.0,77.0,43.0,6.2,"(40.5936235, -73.9861442)"
326,21K572,Expeditionary Learning School for Community Leaders,2630 Benson Avenue,Brooklyn,40.0,353.0,370.0,356.0,3.0,,,3.0,,,92.0,75.0,56.0,8.1,92.0,56.0,44.0,7.1,"(40.5936235, -73.9861442)"
327,21K620,William E. Grady Career and Technical Education High School,25 Brighton 4Th Road,Brooklyn,95.0,394.0,414.0,376.0,281.0,9.0,3.2,281.0,11.0,3.9,54.0,61.0,38.0,7.2,63.0,65.0,34.0,6.5,"(40.5832433, -73.963729)"
328,21K690,Brooklyn Studio Secondary School,8310 21St Avenue,Brooklyn,119.0,429.0,449.0,435.0,140.0,34.0,24.3,140.0,34.0,24.3,78.0,76.0,61.0,7.0,85.0,74.0,60.0,6.6,"(40.6048465, -73.9947464)"
329,22K405,Midwood High School,2839 Bedford Avenue,Brooklyn,824.0,478.0,519.0,476.0,872.0,505.0,57.9,872.0,525.0,60.2,92.0,85.0,74.0,7.7,89.0,87.0,82.0,7.3,"(40.632889, -73.9523966)"
330,22K425,James Madison High School,3787 Bedford Avenue,Brooklyn,518.0,436.0,475.0,439.0,1076.0,328.0,30.5,1076.0,336.0,31.2,80.0,75.0,60.0,6.9,78.0,71.0,57.0,6.4,"(40.6099056, -73.9482591)"
331,22K535,Leon M. Goldstein High School for  Sciences,1830 Shore Boulevard,Brooklyn,259.0,524.0,561.0,542.0,253.0,203.0,80.2,253.0,203.0,80.2,96.0,96.0,87.0,7.8,98.0,99.0,89.0,7.4,"(40.5807237, -73.93502099999999)"
332,22K555,Brooklyn College Academy,350 Coney Island Avenue,Brooklyn,131.0,456.0,456.0,440.0,120.0,40.0,33.3,120.0,40.0,33.3,97.0,97.0,92.0,7.8,99.0,95.0,89.0,7.2,"(40.6492022, -73.9718961)"
334,23K493,Brooklyn Collegiate: A College Board School,2021 Bergen Street,Brooklyn,60.0,389.0,409.0,387.0,70.0,6.0,8.6,70.0,6.0,8.6,66.0,55.0,49.0,6.3,79.0,71.0,46.0,6.2,"(40.67443919999999, -73.9133276)"
335,23K514,Frederick Douglass Academy VII High School,226 Bristol Street,Brooklyn,55.0,361.0,371.0,359.0,92.0,7.0,7.6,92.0,7.0,7.6,68.0,59.0,46.0,6.6,63.0,63.0,42.0,6.3,"(40.6655754, -73.9120016)"
336,23K644,Eagle Academy for Young Men II,1137 Herkimer Street,Brooklyn,,,,,,,,,,,57.0,,,8.1,60.0,,,8.2,"(40.6779834, -73.915842)"
337,23K697,Teachers Preparatory High School,226 Bristol Street,Brooklyn,69.0,392.0,416.0,388.0,99.0,24.0,24.2,99.0,24.0,24.2,63.0,73.0,55.0,6.7,78.0,82.0,40.0,6.7,"(40.6655754, -73.9120016)"
339,24Q264,Academy of Finance and Enterprise,30-20 Thomson Avenue,Long Island City,89.0,405.0,454.0,421.0,90.0,12.0,13.3,90.0,12.0,13.3,94.0,90.0,83.0,7.9,97.0,96.0,75.0,7.2,"(40.7448591, -73.9369449)"
340,24Q267,High School of Applied Communication,30-20 Thomson Avenue,Long Island City,39.0,406.0,413.0,400.0,101.0,12.0,11.9,101.0,12.0,11.9,89.0,80.0,60.0,7.3,83.0,76.0,53.0,6.7,"(40.7448591, -73.9369449)"
341,24Q293,Civic Leadership Academy,45-10 94Th Street,Elmhurst,69.0,404.0,429.0,407.0,,,,,,,93.0,85.0,59.0,8.2,89.0,79.0,,7.5,"(40.743204, -73.871482)"
342,24Q296,Pan American International High School,45-10 94Th Street,Elmhurst,55.0,317.0,323.0,311.0,1.0,,,1.0,,,65.0,42.0,33.0,7.8,82.0,48.0,26.0,7.1,"(40.743204, -73.871482)"
343,24Q299,Bard High School Early College Queens,30-20 Thomson Avenue,Long Island City,155.0,545.0,568.0,550.0,50.0,26.0,52.0,50.0,26.0,52.0,99.0,96.0,99.0,8.5,100.0,100.0,93.0,7.8,"(40.7448591, -73.9369449)"
344,24Q455,Newtown High School,48-01 90 Street,Elmhurst,320.0,383.0,440.0,380.0,773.0,85.0,11.0,773.0,89.0,11.5,82.0,61.0,49.0,7.6,73.0,68.0,40.0,6.8,"(40.74083690000001, -73.8739856)"
345,24Q485,Grover Cleveland High School,21-27 Himrod Street,Ridgewood,241.0,395.0,420.0,396.0,703.0,110.0,15.6,703.0,114.0,16.2,70.0,60.0,37.0,7.1,83.0,58.0,32.0,7.4,"(40.7116318, -73.9091661)"
346,24Q520,Middle College High School at LaGuardia Community College,45-35 Van Dam Street,Long Island City,58.0,399.0,393.0,385.0,,,,,,,83.0,74.0,69.0,7.8,76.0,76.0,55.0,7.1,"(40.743285, -73.93350869999999)"
347,24Q530,International High School at LaGuardia Community College,45-35 Van Dam Street,Long Island City,69.0,326.0,409.0,329.0,,,,,,,95.0,70.0,60.0,8.3,94.0,74.0,57.0,7.7,"(40.743285, -73.93350869999999)"
348,24Q550,High School for Arts and Business,105-25 Horace Harding Expy N,Corona,138.0,391.0,403.0,380.0,187.0,18.0,9.6,187.0,18.0,9.6,90.0,83.0,63.0,7.6,92.0,83.0,52.0,6.8,"(40.737637, -73.853408)"
349,24Q560,Robert F. Wagner Jr. Secondary School for Arts and Technology,47-07 30 Place,Long Island City,80.0,443.0,447.0,440.0,95.0,22.0,23.2,95.0,23.0,24.2,91.0,86.0,68.0,7.8,84.0,81.0,68.0,7.5,"(40.7427084, -73.9363284)"
350,24Q585,Maspeth High School,54-40 74Th Street,Elmhurst,,,,,,,,,,,99.0,,,7.4,98.0,,,7.0,"(40.7293201, -73.88729870000002)"
351,24Q600,Queens Vocational and Technical High School,37-02 47 Avenue,Long Island City,155.0,417.0,447.0,406.0,271.0,29.0,10.7,271.0,29.0,10.7,87.0,80.0,55.0,7.0,84.0,75.0,53.0,6.6,"(40.74222049999999, -73.9283762)"
352,24Q610,Aviation Career & Technical Education High School,45-30 36 Street,Long Island City,396.0,445.0,496.0,423.0,368.0,127.0,34.5,368.0,135.0,36.7,96.0,88.0,80.0,7.3,95.0,89.0,57.0,6.8,"(40.743581, -73.9292176)"
